,SSC-H,SSC-A,FSC-H,FSC-A
0,235023.0,237657.640625,5551.0,3339.724853515625
1,150219.0,150519.109375,6894.0,1484.1849365234375
2,771127.0,773826.0625,2057.0,-5613.455078125
3,11423.0,11555.5322265625,939.0,-3682.294921875
4,117262.0,114372.4375,4867.0,-191.9949951171875
5,4050.0,3403.402587890625,3212.0,-6282.06494140625
6,1867.0,1618.1075439453125,2614.0,-656.6400146484375
7,4687.0,4698.57080078125,3013.0,-145.16000366210938
9,4347.0,4756.68505859375,1131.0,-3660.635009765625
10,971355.0,961376.125,7847.0,8699.4345703125
11,5992.0,5568.74853515625,3313.0,1591.25
12,1548.0,1195.1231689453125,1739.0,-2663.419921875
13,43843.0,44122.12109375,2935.0,2035.56494140625
14,4607.0,5382.8359375,3917.0,-1652.239990234375
15,102668.0,101748.9140625,6664.0,15385.9150390625
16,288927.0,495878.75,5781.0,20284.685546875
17,242510.0,244152.671875,3451.0,5531.85009765625
18,1817.0,1779.4100341796875,9873.0,7337.22998046875
19,272551.0,265089.25,4519.0,-6173.10009765625
22,839772.0,822294.125,6040.0,8281.4345703125
23,201845.0,210065.546875,6143.0,1305.0150146484375
24,8592.0,8443.0361328125,4918.0,-1834.0699462890625
25,5822.0,5917.8359375,1794.0,-398.9049987792969
26,761403.0,816027.625,8875.0,25509.875
27,284536.0,283086.5,5386.0,7997.57470703125
28,6716.0,6593.541015625,7481.0,5108.43505859375
30,118820.0,119766.640625,5141.0,4452.83984375
31,44594.0,44231.6640625,4889.0,9457.8203125
32,7812.0,7937.4609375,1008.0,-5476.27490234375
33,3044.0,2931.866943359375,567.0,-4390.9951171875
34,244064.0,248152.46875,4282.0,-5175.41015625
35,236376.0,231821.59375,4745.0,15040.9697265625
36,8541.0,7870.853515625,4047.0,-2230.695068359375
37,1689.0,1275.70751953125,135.0,-2523.9599609375
38,8743.0,8782.29296875,1882.0,-3085.885009765625
39,6944.0,6740.666015625,1466.0,-267.1399841308594
40,297510.0,296115.28125,6000.0,12061.484375
42,155354.0,155297.53125,4526.0,8010.3046875
43,108088.0,107270.3828125,3962.0,1563.60498046875
45,3944.0,4075.563232421875,4859.0,-498.2749938964844
47,1822.0,1644.9244384765625,1838.0,1401.9150390625
48,1571.0,1074.346923828125,1798.0,1399.635009765625
50,8469.0,7930.70654296875,6420.0,11485.8798828125
51,85660.0,85613.109375,6178.0,12252.91015625
52,291398.0,297613.5625,10075.0,15255.955078125
53,3079.0,2567.598876953125,-1124.0,-6142.509765625
54,14271.0,13951.73046875,2121.0,-253.364990234375
55,2174.0,1566.2794189453125,1666.0,796.2899780273438
56,1748.0,1945.9288330078125,5346.0,7244.794921875
57,252795.0,251705.546875,5573.0,6900.32470703125
